fold_name,fold_number,partition,id
0,0,train,16s_C.reinhardtii.mito_domain3
0,0,train,grp1_a.I1.e.L.dispersa.UNK.SSU.1210
0,0,train,grp1_a.I1.e.L.dispersa.UNK.SSU.789
0,0,valid,16s_M.polymorpha_domain3
0,0,test,srp_Kluy.lact._CR382126
1,1,train,srp_Kluy.lact._CR382126
1,1,train,grp1_a.I1.e.L.dispersa.UNK.SSU.789
1,1,train,16s_C.reinhardtii.mito_domain3
1,1,valid,grp1_a.I1.e.L.dispersa.UNK.SSU.1210
1,1,test,16s_M.polymorpha_domain3
2,2,train,srp_Kluy.lact._CR382126
2,2,train,16s_M.polymorpha_domain3
2,2,train,grp1_a.I1.e.L.dispersa.UNK.SSU.1210
2,2,valid,grp1_a.I1.e.L.dispersa.UNK.SSU.789
2,2,test,16s_C.reinhardtii.mito_domain3
3,3,train,grp1_a.I1.e.L.dispersa.UNK.SSU.789
3,3,train,16s_M.polymorpha_domain3
3,3,train,16s_C.reinhardtii.mito_domain3
3,3,valid,grp1_a.I1.e.L.dispersa.UNK.SSU.1210
3,3,test,srp_Kluy.lact._CR382126
4,4,train,srp_Kluy.lact._CR382126
4,4,train,16s_M.polymorpha_domain3
4,4,train,grp1_a.I1.e.L.dispersa.UNK.SSU.1210
4,4,valid,16s_C.reinhardtii.mito_domain3
4,4,test,grp1_a.I1.e.L.dispersa.UNK.SSU.789
5,5,train,16s_C.reinhardtii.mito_domain3
5,5,train,grp1_a.I1.e.L.dispersa.UNK.SSU.789
5,5,train,srp_Kluy.lact._CR382126
5,5,valid,grp1_a.I1.e.L.dispersa.UNK.SSU.1210
5,5,test,16s_M.polymorpha_domain3
6,6,train,grp1_a.I1.e.L.dispersa.UNK.SSU.1210
6,6,train,16s_C.reinhardtii.mito_domain3
6,6,train,16s_M.polymorpha_domain3
6,6,valid,srp_Kluy.lact._CR382126
6,6,test,grp1_a.I1.e.L.dispersa.UNK.SSU.789
7,7,train,grp1_a.I1.e.L.dispersa.UNK.SSU.1210
7,7,train,grp1_a.I1.e.L.dispersa.UNK.SSU.789
7,7,train,srp_Kluy.lact._CR382126
7,7,valid,16s_C.reinhardtii.mito_domain3
7,7,test,16s_M.polymorpha_domain3
8,8,train,srp_Kluy.lact._CR382126
8,8,train,grp1_a.I1.e.L.dispersa.UNK.SSU.1210
8,8,train,grp1_a.I1.e.L.dispersa.UNK.SSU.789
8,8,valid,16s_M.polymorpha_domain3
8,8,test,16s_C.reinhardtii.mito_domain3
9,9,train,grp1_a.I1.e.L.dispersa.UNK.SSU.789
9,9,train,srp_Kluy.lact._CR382126
9,9,train,16s_C.reinhardtii.mito_domain3
9,9,valid,16s_M.polymorpha_domain3
9,9,test,grp1_a.I1.e.L.dispersa.UNK.SSU.1210
